c0_v6_stage1_pred,c1_v6_stage1_pred,c2_v6_stage1_pred,c3_v6_stage1_pred,c4_v6_stage1_pred,c5_v6_stage1_pred,c6_v6_stage1_pred,c7_v6_stage1_pred,c8_v6_stage1_pred,c9_v6_stage1_pred
0.000155684958865,0.0075522429449,0.000192038894655,0.000270727588404,0.000139553502471,0.000115738448252,0.000138408051529,0.000111592181773,0.991135543021,0.000188470408218
1.3078480304e-05,1.03412109559e-05,1.32211300491e-05,3.22127668969e-05,1.0449609419e-05,0.999867259281,1.31907777232e-05,1.01593478202e-05,7.23225379083e-06,2.28551418103e-05
9.74925860919e-05,6.86925931127e-05,0.000155969352218,0.000241844310073,8.61459970269e-05,9.06002241887e-05,8.68687569147e-05,6.73958547227e-05,0.000330848505421,0.99877414182
0.00887106795742,0.908108836268,0.0309978623278,0.00800736621487,0.00828543737438,0.00661620556794,0.00789580705197,0.00612660154494,0.00961069406085,0.00548012163137
2.65557961411e-05,0.999527864947,6.60249078259e-05,2.292226334e-05,2.74700525722e-05,2.07091458307e-05,2.51934926816e-05,9.15022061212e-05,0.000178104272978,1.36529151549e-05
0.000839589214449,0.00139982406165,0.000908193366399,0.000961596383756,0.00194711541147,0.989400297914,0.000801161766093,0.000573292655801,0.00130004960636,0.00186887962041
0.999367400105,5.4376963836e-05,8.24316182518e-05,4.15669449101e-05,9.20822589526e-05,7.52253040634e-05,6.03753565981e-05,0.000121306165451,5.07451417313e-05,5.44901414646e-05
0.999753932896,2.07840307286e-05,3.3287281334e-05,2.13688500436e-05,3.52859669076e-05,2.58981584727e-05,2.77477097669e-05,2.15948215386e-05,2.6085664998e-05,3.40146201694e-05
4.28617061562e-05,3.29218743751e-05,4.19388003732e-05,4.17325820636e-05,3.45326768996e-05,3.56678610634e-05,3.83964230107e-05,3.00789008955e-05,3.81939785735e-05,0.999663675197
1.58797529153e-05,1.30799869878e-05,1.82782497757e-05,1.37629503604e-05,1.26699578647e-05,0.999843937612,1.57339391986e-05,1.72917762289e-05,2.45798059639e-05,2.47859688238e-05
2.36134952162e-05,5.70650575459e-05,2.42404150429e-05,1.90002195423e-05,0.000117871225414,0.999623893943,2.36309642286e-05,2.03570593006e-05,1.92155688001e-05,7.11120515785e-05
9.66501715414e-05,6.84176573896e-05,9.18959744683e-05,0.000117261112939,0.00359373819459,0.000135347052086,8.91940813845e-05,0.995634598248,8.01070335982e-05,9.27904742742e-05
0.000230512420687,0.000163313793514,0.000260908312492,0.000134234599188,0.00602139473425,0.000328049707546,0.000203864477958,0.991502217175,0.000434080121164,0.000721424658509
2.47914914309e-05,2.26359478046e-05,3.24995537501e-05,4.30028574945e-05,2.54468571344e-05,6.16620623948e-05,2.15584799481e-05,0.99961719864,0.000131246112951,1.99579969846e-05
0.000198385444396,0.000145497973282,0.99086302455,0.00035003893556,0.000161584601173,0.00014776166377,0.000176416068232,0.000149308121913,0.00764252312584,0.000165459515765
1.93641868855e-05,2.3037222766e-05,0.999822117316,2.16743589777e-05,1.73849004121e-05,1.81707829163e-05,1.91263067822e-05,1.35377345535e-05,3.45715818519e-05,1.10156090492e-05
1.77645185304e-05,1.36350875231e-05,1.79423010378e-05,3.8793766772e-05,1.3799157542e-05,1.99789747295e-05,1.57159013562e-05,1.21696484944e-05,1.15877944106e-05,0.99983861285
3.22950988218e-05,0.131932222741,3.16248148779e-05,1.98323328678e-05,0.867810616346,4.03127892551e-05,3.44559115387e-05,5.38978244702e-05,2.0440939341e-05,2.43012021698e-05
2.16004164531e-05,1.81191043458e-05,2.42555590002e-05,2.51074300497e-05,2.08539706179e-05,2.69645080333e-05,0.999749561951,1.50143704563e-05,8.75807447598e-05,1.09419453159e-05
4.04726913657e-05,0.998602022711,4.05445110245e-05,9.27388497523e-05,6.79873817998e-05,4.34298345179e-05,3.59765374065e-05,3.7573968256e-05,5.3786685442e-05,0.000985466829528
2.16974452413e-05,1.60328479967e-05,2.3386692399e-05,2.20211315483e-05,1.69929063177e-05,2.16259680824e-05,1.92815838505e-05,1.51082323771e-05,2.07605877119e-05,0.999823092604
0.99977779347,2.13229753239e-05,3.0406150277e-05,1.93772211558e-05,2.96630174734e-05,2.63116067751e-05,2.56786878324e-05,2.22453807948e-05,2.45590956707e-05,2.26423950643e-05
0.000818459267076,0.991976393195,0.00143339026117,0.000629802131359,0.000844976408779,0.000604144548732,0.000734207551399,0.0007025978932,0.0017371785328,0.00051885021055
1.10098007674e-05,0.999852344462,1.47553535852e-05,9.86470741806e-06,1.02835982814e-05,8.07524267806e-06,1.0359107997e-05,9.45279035929e-06,6.80363113527e-05,5.81862506536e-06
5.60417478789e-05,0.999456320679,6.82642362873e-05,4.98192839827e-05,6.14011668122e-05,6.17687863111e-05,5.76207895974e-05,4.96249732825e-05,0.000109584266468,2.95540701892e-05
1.48670088826e-05,1.35930382723e-05,1.71868354765e-05,0.999857558308,1.16864809049e-05,1.46766066679e-05,1.39628699402e-05,1.02574653236e-05,3.20070711395e-05,1.420431557e-05
1.66907240909e-05,1.54431798057e-05,3.69366584751e-05,3.66484086773e-05,1.82186863579e-05,1.34512015619e-05,1.46735486843e-05,0.999824521143,1.21430163903e-05,1.12734329104e-05
0.000115308656172,0.000106025687564,0.000363760045984,0.997935213594,9.07662123352e-05,0.000107752367051,0.000102234039928,8.3680456848e-05,9.22032957438e-05,0.00100305564456
9.51596159011e-05,9.27047228827e-05,0.998677489952,0.00017060612591,8.219208565e-05,9.23382067087e-05,8.52382690225e-05,6.58731942605e-05,0.000549100086361,8.92977417245e-05
7.68931531231e-05,0.99853948238,0.000113793835888,4.73984318514e-05,6.72081626095e-05,0.000165748330434,6.95128239833e-05,6.7647386859e-05,0.000810735369046,4.15801257203e-05
0.00178656931166,0.00651683057307,0.975887334702,0.00244713024957,0.00192054577779,0.00197904151208,0.00203109995079,0.00122746724176,0.00500589160219,0.00119808907904
0.0033076638655,0.00331008718639,0.00347358037566,0.967029907514,0.00259120696642,0.00552754077343,0.00303214741113,0.00226508369981,0.00475979685198,0.00470298535537
3.6224191482e-05,2.34290419629e-05,0.999615955949,2.38036954993e-05,4.25316854766e-05,6.32895540013e-05,3.68605756298e-05,1.91422543509e-05,0.000106511550168,3.22515022469e-05
2.3956945765e-05,7.44951952472e-05,1.94315868688e-05,1.12533432465e-05,6.00134372509e-05,0.000223248672902,1.79560261573e-05,2.587770348e-05,3.37995566174e-05,0.999509967532
0.0215960866538,0.199985063072,0.0312910270252,0.013488009554,0.0957049481607,0.0466450917694,0.041840427064,0.0185129657358,0.143686184628,0.387250196337
