c0_v1_stage1_stack,c1_v1_stage1_stack,c2_v1_stage1_stack,c3_v1_stage1_stack,c4_v1_stage1_stack,c5_v1_stage1_stack,c6_v1_stage1_stack,c7_v1_stage1_stack,c8_v1_stage1_stack,c9_v1_stage1_stack
0.0486840978265,0.0502718612552,0.0448565557599,0.0450545959175,0.558106601238,0.0564454384148,0.0577311404049,0.0448116287589,0.045063264668,0.0489748045802
0.068256944418,0.161863967776,0.0744646862149,0.0820791646838,0.0755199491978,0.08007350564,0.0685673952103,0.0886204391718,0.127972379327,0.172581583261
0.0473767966032,0.567103862762,0.048142965883,0.0478075407445,0.0474634170532,0.0474492534995,0.0479524619877,0.0477726534009,0.0513866022229,0.0475444458425
0.0463391579688,0.0540202744305,0.0463752560318,0.0465234741569,0.564548611641,0.0472599342465,0.0550261735916,0.0463557466865,0.0466101393104,0.0469412021339
0.0768057629466,0.0898270234466,0.0780523866415,0.0777258053422,0.0768977701664,0.0769784152508,0.0768168568611,0.246227458119,0.107357442379,0.0933111086488
0.0476944595575,0.0477839261293,0.047731615603,0.0490733347833,0.0515990704298,0.07110889256,0.0511876158416,0.0532530322671,0.525409162045,0.0551588758826
0.0472010932863,0.0468347519636,0.0472078546882,0.0475094094872,0.0488953702152,0.0478572957218,0.572924792767,0.0468232892454,0.0471035353839,0.0476425774395
0.548144042492,0.0472424030304,0.0475272089243,0.0508248806,0.0474416650832,0.0472875460982,0.0576330795884,0.04721641168,0.0474815554917,0.0592011809349
0.542799651623,0.0459240712225,0.0532018877566,0.0459832437336,0.0465022921562,0.0467231832445,0.0457892529666,0.0758320689201,0.0459535568953,0.0512907989323
0.0971441492438,0.0712842196226,0.0723955109715,0.0786764025688,0.0715509802103,0.084724009037,0.0714904814959,0.0712449848652,0.143427759409,0.238061517477
0.0517522245646,0.452160865068,0.0786156579852,0.0992355793715,0.0520494543016,0.0536270998418,0.0531923435628,0.0517534092069,0.0551450438797,0.0524682626128
0.0473688803613,0.0474577173591,0.0493764057755,0.0479896999896,0.0477483086288,0.0495735481381,0.56457144022,0.0473858304322,0.0508956238627,0.0476325564086
0.0492409430444,0.0492691732943,0.0512032471597,0.545648276806,0.0493309721351,0.0494912974536,0.0494117364287,0.0492420680821,0.0524825342,0.0546797625721
0.0734196826816,0.0733737275004,0.0740134119987,0.0743945837021,0.0739758610725,0.0935915857553,0.0735154002905,0.201943725348,0.183373495936,0.078398488462
0.082076728344,0.190350845456,0.0927086696029,0.108019769192,0.0832216441631,0.0822457969189,0.0824566856027,0.0821954831481,0.0845713913441,0.112153023481
0.0551313981414,0.0583961568773,0.0551436021924,0.0560214594007,0.343359470367,0.0563292019069,0.0552032701671,0.0695368200541,0.0861142203212,0.164764374495
0.0439610518515,0.0440510287881,0.599370539188,0.0452845916152,0.0440439507365,0.0441342145205,0.0441645607352,0.0440246537328,0.0449177548289,0.0460476800799
0.0598861202598,0.0730811208487,0.0655127391219,0.12912286818,0.0599578656256,0.0600207298994,0.0598947741091,0.0598163716495,0.368651658297,0.0640557482839
0.0505529977381,0.0505819804966,0.0515386983752,0.0867594331503,0.0508791804314,0.050630312413,0.0507283397019,0.506450414658,0.0510499253869,0.0508286654949
0.059662822634,0.0596970282495,0.0597239993513,0.0631795227528,0.0598989278078,0.0762258544564,0.0598697662354,0.353242337704,0.142270714045,0.0662290528417
0.0534691289067,0.0537572801113,0.0535480044782,0.0538341850042,0.508636057377,0.0587226115167,0.0537166520953,0.0535464845598,0.0561717748642,0.0545978322625
0.0637493282557,0.0638688951731,0.395674049854,0.0755142122507,0.0638003721833,0.0642639100552,0.0640392899513,0.0637721419334,0.0675805956125,0.0777371972799
0.0568508319557,0.0568834245205,0.0569091327488,0.057160384953,0.476514786482,0.0569377802312,0.0570480190217,0.0573258511722,0.0578002482653,0.0665695443749
0.0472761541605,0.435846835375,0.049105733633,0.0610261373222,0.0529561601579,0.048877324909,0.0474911853671,0.0500796213746,0.0722506418824,0.13509015739
0.0468667298555,0.0469626560807,0.0500769466162,0.0471867099404,0.0469551123679,0.563269793987,0.0481292791665,0.0472206175327,0.0473054237664,0.0560267306864
0.0529494024813,0.0491324588656,0.0561892092228,0.51390349865,0.0491245649755,0.0493454150856,0.0494719557464,0.0491030439734,0.0517591126263,0.0790213569999
