c0_v3_stage1_pred,c1_v3_stage1_pred,c2_v3_stage1_pred,c3_v3_stage1_pred,c4_v3_stage1_pred,c5_v3_stage1_pred,c6_v3_stage1_pred,c7_v3_stage1_pred,c8_v3_stage1_pred,c9_v3_stage1_pred
0.01,0.124,0.032,0.032,0.05,0.008,0.028,0.048,0.63,0.038
0.0,0.002,0.004,0.018,0.0,0.922,0.016,0.0,0.01,0.028
0.012,0.012,0.05,0.144,0.008,0.076,0.014,0.022,0.042,0.62
0.0,0.642,0.17,0.07,0.01,0.008,0.006,0.032,0.054,0.008
0.0,0.722,0.076,0.02,0.006,0.008,0.026,0.036,0.104,0.002
0.01,0.068,0.006,0.018,0.052,0.712,0.062,0.008,0.046,0.018
0.816,0.006,0.014,0.002,0.09,0.012,0.006,0.03,0.022,0.002
0.95,0.006,0.002,0.0,0.012,0.002,0.01,0.004,0.008,0.006
0.006,0.01,0.006,0.082,0.002,0.06,0.0,0.006,0.046,0.782
0.0,0.004,0.0,0.01,0.0,0.98,0.0,0.002,0.0,0.004
0.0,0.034,0.01,0.016,0.018,0.866,0.002,0.006,0.022,0.026
0.02,0.034,0.0,0.008,0.21,0.068,0.016,0.592,0.024,0.028
0.078,0.042,0.014,0.012,0.2,0.06,0.02,0.446,0.036,0.092
0.004,0.012,0.008,0.034,0.022,0.022,0.002,0.836,0.046,0.014
0.008,0.036,0.604,0.052,0.01,0.006,0.006,0.028,0.234,0.016
0.0,0.006,0.97,0.004,0.0,0.006,0.0,0.004,0.006,0.004
0.0,0.0,0.002,0.032,0.002,0.018,0.0,0.002,0.004,0.94
0.0,0.18,0.0,0.002,0.758,0.006,0.0,0.034,0.006,0.014
0.004,0.01,0.012,0.002,0.012,0.02,0.904,0.002,0.034,0.0
0.004,0.69,0.01,0.02,0.052,0.006,0.014,0.026,0.042,0.136
0.002,0.004,0.002,0.008,0.0,0.018,0.004,0.004,0.002,0.956
0.908,0.002,0.0,0.002,0.026,0.006,0.01,0.014,0.024,0.008
0.0,0.886,0.036,0.026,0.002,0.008,0.0,0.012,0.03,0.0
0.0,0.934,0.006,0.0,0.004,0.006,0.0,0.018,0.03,0.002
0.002,0.886,0.016,0.018,0.012,0.016,0.018,0.01,0.02,0.002
0.002,0.012,0.034,0.906,0.002,0.014,0.004,0.0,0.012,0.014
0.004,0.016,0.012,0.026,0.01,0.008,0.004,0.91,0.006,0.004
0.002,0.014,0.062,0.838,0.0,0.002,0.004,0.016,0.014,0.048
0.0,0.002,0.836,0.036,0.006,0.008,0.002,0.006,0.09,0.014
0.0,0.748,0.032,0.004,0.006,0.008,0.002,0.018,0.168,0.014
0.0,0.072,0.73,0.054,0.002,0.026,0.05,0.0,0.046,0.02
0.0,0.03,0.006,0.72,0.002,0.074,0.0,0.002,0.062,0.104
0.02,0.09,0.6,0.006,0.006,0.14,0.068,0.002,0.03,0.038
0.006,0.062,0.004,0.004,0.078,0.054,0.014,0.032,0.026,0.72
0.016,0.226,0.066,0.02,0.114,0.26,0.152,0.02,0.084,0.042
0.02,0.092,0.012,0.002,0.498,0.054,0.288,0.0,0.034,0.0
0.018,0.006,0.006,0.002,0.912,0.002,0.012,0.02,0.01,0.012
0.002,0.056,0.018,0.028,0.008,0.756,0.004,0.038,0.058,0.032
0.002,0.004,0.0,0.0,0.986,0.0,0.006,0.002,0.0,0.0
0.004,0.006,0.004,0.024,0.004,0.03,0.002,0.002,0.012,0.912
0.724,0.006,0.032,0.034,0.042,0.04,0.01,0.018,0.04,0.054
0.004,0.0,0.002,0.002,0.004,0.004,0.978,0.0,0.004,0.002
0.0,0.008,0.016,0.018,0.016,0.014,0.0,0.91,0.012,0.006
0.984,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.008
0.082,0.028,0.014,0.012,0.068,0.06,0.684,0.008,0.022,0.022
0.0,0.878,0.036,0.012,0.026,0.008,0.014,0.016,0.01,0.0
0.98,0.0,0.002,0.0,0.0,0.004,0.0,0.0,0.004,0.01
0.0,0.002,0.006,0.028,0.006,0.0,0.0,0.952,0.006,0.0
0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0
0.01,0.06,0.002,0.0,0.792,0.016,0.01,0.048,0.028,0.034
0.006,0.008,0.004,0.064,0.004,0.08,0.004,0.006,0.01,0.814
0.01,0.026,0.02,0.046,0.04,0.056,0.012,0.014,0.202,0.574
0.008,0.138,0.096,0.088,0.002,0.026,0.002,0.032,0.586,0.022
0.006,0.684,0.004,0.018,0.018,0.012,0.002,0.02,0.024,0.212
0.012,0.012,0.07,0.052,0.02,0.016,0.006,0.038,0.728,0.046
0.0,0.004,0.0,0.006,0.0,0.98,0.002,0.006,0.0,0.002
0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.992,0.004,0.0
0.0,0.012,0.006,0.016,0.002,0.934,0.002,0.008,0.014,0.006
0.008,0.04,0.002,0.012,0.09,0.712,0.044,0.04,0.034,0.018
0.01,0.006,0.006,0.094,0.0,0.026,0.002,0.002,0.004,0.85
0.006,0.054,0.034,0.046,0.024,0.004,0.054,0.008,0.756,0.014
0.038,0.032,0.006,0.004,0.83,0.004,0.046,0.01,0.016,0.014
0.038,0.028,0.11,0.026,0.062,0.024,0.012,0.144,0.49,0.066
0.606,0.014,0.002,0.02,0.092,0.032,0.134,0.008,0.04,0.052
0.0,0.73,0.068,0.068,0.0,0.046,0.034,0.002,0.034,0.018
0.004,0.008,0.004,0.024,0.002,0.898,0.008,0.01,0.034,0.008
0.0,0.0,0.004,0.984,0.0,0.0,0.0,0.0,0.0,0.012
0.012,0.026,0.03,0.538,0.014,0.204,0.026,0.006,0.058,0.086
0.004,0.002,0.004,0.004,0.004,0.006,0.0,0.966,0.008,0.002
0.002,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0
0.0,0.774,0.038,0.032,0.01,0.036,0.056,0.002,0.026,0.026
0.008,0.562,0.014,0.034,0.06,0.038,0.016,0.036,0.074,0.158
0.002,0.016,0.064,0.06,0.002,0.0,0.006,0.004,0.838,0.008
0.0,0.012,0.912,0.04,0.0,0.006,0.002,0.004,0.016,0.008
0.004,0.054,0.066,0.06,0.25,0.096,0.0,0.206,0.148,0.116
0.048,0.006,0.0,0.006,0.028,0.004,0.9,0.004,0.004,0.0
0.006,0.036,0.094,0.054,0.01,0.018,0.056,0.008,0.682,0.036
0.002,0.014,0.0,0.0,0.03,0.006,0.936,0.0,0.012,0.0
0.0,0.006,0.96,0.01,0.0,0.004,0.0,0.004,0.012,0.004
0.0,0.002,0.014,0.944,0.002,0.004,0.002,0.006,0.008,0.018
0.01,0.72,0.012,0.01,0.134,0.0,0.016,0.01,0.084,0.004
0.036,0.002,0.004,0.018,0.01,0.012,0.048,0.01,0.774,0.086
0.012,0.014,0.008,0.002,0.91,0.0,0.006,0.03,0.016,0.002
0.0,0.002,0.0,0.008,0.002,0.968,0.0,0.002,0.004,0.014
0.004,0.066,0.004,0.0,0.002,0.0,0.92,0.0,0.002,0.002
0.016,0.046,0.006,0.004,0.694,0.03,0.024,0.136,0.03,0.014
0.01,0.002,0.022,0.018,0.0,0.018,0.0,0.0,0.014,0.916
0.0,0.004,0.016,0.06,0.0,0.83,0.002,0.0,0.024,0.064
0.0,0.004,0.004,0.01,0.0,0.016,0.0,0.0,0.002,0.964
0.01,0.006,0.026,0.108,0.006,0.054,0.008,0.016,0.602,0.164
0.064,0.016,0.06,0.064,0.02,0.01,0.136,0.03,0.376,0.224
0.0,0.012,0.79,0.092,0.0,0.006,0.0,0.024,0.032,0.044
0.008,0.044,0.008,0.052,0.032,0.652,0.134,0.0,0.048,0.022
0.0,0.0,0.0,0.992,0.0,0.0,0.002,0.0,0.004,0.002
0.006,0.01,0.004,0.0,0.008,0.006,0.95,0.002,0.012,0.002
0.0,0.054,0.84,0.028,0.008,0.018,0.0,0.004,0.028,0.02
0.024,0.032,0.088,0.464,0.018,0.134,0.022,0.056,0.048,0.114
0.018,0.004,0.0,0.0,0.97,0.0,0.004,0.002,0.002,0.0
0.0,0.0,0.0,0.002,0.004,0.002,0.992,0.0,0.0,0.0
0.002,0.414,0.202,0.03,0.004,0.004,0.022,0.002,0.306,0.014
0.006,0.004,0.012,0.02,0.02,0.006,0.0,0.872,0.044,0.016
0.516,0.02,0.028,0.006,0.096,0.024,0.05,0.048,0.124,0.088
0.0,0.004,0.004,0.018,0.022,0.004,0.0,0.918,0.012,0.018
0.004,0.004,0.0,0.0,0.004,0.014,0.974,0.0,0.0,0.0
0.016,0.0,0.004,0.038,0.0,0.014,0.002,0.0,0.004,0.922
0.998,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0
0.008,0.018,0.036,0.008,0.002,0.002,0.026,0.004,0.894,0.002
0.016,0.002,0.004,0.002,0.958,0.0,0.002,0.01,0.006,0.0
0.012,0.002,0.002,0.002,0.004,0.006,0.956,0.004,0.008,0.004
0.0,0.016,0.108,0.042,0.0,0.002,0.002,0.002,0.816,0.012
0.0,0.006,0.004,0.004,0.014,0.01,0.0,0.89,0.026,0.046
0.034,0.078,0.46,0.098,0.054,0.004,0.034,0.056,0.096,0.086
0.04,0.01,0.02,0.014,0.08,0.038,0.014,0.626,0.04,0.118
0.004,0.034,0.008,0.028,0.078,0.086,0.0,0.198,0.09,0.474
0.008,0.074,0.072,0.21,0.002,0.148,0.024,0.0,0.018,0.444
0.04,0.018,0.008,0.002,0.776,0.014,0.016,0.068,0.04,0.018
0.01,0.018,0.074,0.06,0.018,0.002,0.718,0.02,0.074,0.006
0.21,0.022,0.006,0.006,0.062,0.426,0.062,0.046,0.074,0.086
0.0,0.004,0.012,0.904,0.0,0.012,0.0,0.0,0.004,0.064
0.01,0.118,0.03,0.05,0.02,0.048,0.014,0.026,0.646,0.038
0.006,0.016,0.004,0.006,0.012,0.016,0.002,0.048,0.874,0.016
0.008,0.01,0.016,0.07,0.0,0.01,0.004,0.0,0.002,0.88
0.008,0.02,0.02,0.102,0.012,0.6,0.032,0.004,0.02,0.182
0.004,0.824,0.038,0.014,0.004,0.014,0.002,0.012,0.076,0.012
0.014,0.054,0.04,0.012,0.698,0.02,0.06,0.01,0.086,0.006
0.002,0.02,0.84,0.03,0.008,0.01,0.012,0.004,0.072,0.002
0.006,0.078,0.01,0.098,0.114,0.124,0.022,0.396,0.024,0.128
0.036,0.024,0.016,0.018,0.064,0.046,0.014,0.656,0.024,0.102
0.01,0.568,0.004,0.02,0.05,0.008,0.014,0.112,0.198,0.016
0.04,0.002,0.006,0.044,0.006,0.538,0.016,0.0,0.014,0.334
0.002,0.004,0.0,0.002,0.0,0.006,0.982,0.0,0.002,0.002
0.002,0.17,0.04,0.012,0.006,0.016,0.014,0.008,0.716,0.016
0.046,0.02,0.006,0.026,0.144,0.376,0.254,0.028,0.048,0.052
0.002,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0
0.0,0.01,0.008,0.052,0.0,0.88,0.024,0.002,0.006,0.018
0.002,0.002,0.024,0.938,0.0,0.004,0.0,0.002,0.014,0.014
0.0,0.816,0.114,0.016,0.0,0.01,0.01,0.0,0.03,0.004
0.0,0.002,0.002,0.008,0.002,0.96,0.002,0.006,0.006,0.012
0.002,0.022,0.016,0.038,0.064,0.036,0.0,0.216,0.124,0.482
0.006,0.042,0.016,0.136,0.01,0.046,0.002,0.05,0.652,0.04
0.002,0.696,0.004,0.014,0.014,0.0,0.002,0.098,0.154,0.016
0.002,0.028,0.808,0.058,0.0,0.002,0.006,0.01,0.076,0.01
0.0,0.002,0.978,0.018,0.002,0.0,0.0,0.0,0.0,0.0
0.012,0.034,0.044,0.374,0.034,0.274,0.112,0.034,0.03,0.052
0.012,0.006,0.022,0.064,0.004,0.71,0.004,0.004,0.012,0.162
0.03,0.006,0.036,0.024,0.008,0.03,0.02,0.022,0.08,0.744
0.004,0.006,0.0,0.0,0.968,0.0,0.004,0.01,0.008,0.0
0.0,0.038,0.152,0.41,0.008,0.018,0.002,0.03,0.332,0.01
0.01,0.038,0.05,0.082,0.038,0.05,0.002,0.442,0.276,0.012
0.0,0.934,0.008,0.014,0.004,0.004,0.004,0.0,0.032,0.0
0.002,0.064,0.024,0.298,0.022,0.134,0.006,0.086,0.052,0.312
0.012,0.044,0.018,0.124,0.006,0.188,0.03,0.002,0.126,0.45
0.008,0.006,0.018,0.076,0.0,0.026,0.002,0.002,0.004,0.858
0.068,0.024,0.036,0.006,0.662,0.038,0.086,0.022,0.034,0.024
0.032,0.03,0.02,0.018,0.07,0.016,0.012,0.654,0.026,0.122
0.0,0.004,0.004,0.0,0.004,0.0,0.98,0.002,0.004,0.002
0.044,0.026,0.02,0.034,0.064,0.05,0.006,0.526,0.052,0.178
0.98,0.002,0.0,0.002,0.002,0.0,0.0,0.008,0.0,0.006
0.0,0.006,0.844,0.026,0.012,0.02,0.0,0.028,0.054,0.01
0.004,0.03,0.762,0.056,0.006,0.006,0.002,0.07,0.06,0.004
0.0,0.052,0.04,0.724,0.002,0.046,0.008,0.004,0.026,0.098
0.0,0.894,0.002,0.01,0.008,0.006,0.0,0.02,0.056,0.004
0.0,0.818,0.036,0.016,0.04,0.022,0.022,0.022,0.02,0.004
0.934,0.002,0.004,0.004,0.034,0.004,0.008,0.004,0.002,0.004
0.028,0.202,0.122,0.028,0.07,0.022,0.038,0.046,0.424,0.02
0.0,0.0,0.972,0.004,0.002,0.0,0.0,0.0,0.02,0.002
0.026,0.008,0.004,0.02,0.05,0.048,0.796,0.002,0.018,0.028
0.0,0.002,0.016,0.944,0.0,0.004,0.0,0.004,0.016,0.014
0.01,0.022,0.002,0.006,0.788,0.028,0.018,0.03,0.032,0.064
0.004,0.002,0.006,0.006,0.008,0.024,0.922,0.0,0.024,0.004
0.002,0.018,0.042,0.08,0.0,0.01,0.004,0.0,0.01,0.834
0.0,0.964,0.004,0.006,0.002,0.006,0.0,0.004,0.012,0.002
0.018,0.0,0.014,0.006,0.012,0.044,0.89,0.0,0.012,0.004
0.002,0.018,0.004,0.01,0.024,0.008,0.0,0.898,0.02,0.016
0.008,0.024,0.006,0.014,0.034,0.024,0.008,0.02,0.07,0.792
0.004,0.038,0.036,0.026,0.024,0.046,0.004,0.034,0.77,0.018
0.022,0.008,0.016,0.036,0.05,0.042,0.014,0.74,0.062,0.01
0.004,0.016,0.002,0.004,0.9,0.002,0.008,0.012,0.036,0.016
0.006,0.046,0.026,0.166,0.006,0.18,0.008,0.012,0.086,0.464
