c0_v2_stage1_pred,c1_v2_stage1_pred,c2_v2_stage1_pred,c3_v2_stage1_pred,c4_v2_stage1_pred,c5_v2_stage1_pred,c6_v2_stage1_pred,c7_v2_stage1_pred,c8_v2_stage1_pred,c9_v2_stage1_pred
0.0,5.72678356614e-25,0.0,0.0,0.0,0.0,0.0,4.20389539297e-45,1.0,3.60210776747e-40
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.16557850307e-40,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.73960256996e-17,0.0,0.0,3.66060443242e-34,1.0,4.21790837762e-43,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40129846432e-44,1.0,4.35398572402e-16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,5.04467447157e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.00134573737159,0.99865424633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30632449943e-19,1.0
1.11165427564e-39,1.0,0.0,0.0,5.86382647019e-38,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,5.6051938573e-45,0.0,0.0,0.0
2.47170829805e-33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,5.58413613281e-28,0.0,4.72483916974e-30,0.0,1.0,0.0,2.59037868402e-39,2.03339757691e-39,2.62083455295e-16
2.69513804416e-26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.26985666837e-41,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.33827697801e-28,0.0,0.0,0.0,2.32032574783e-33,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.35841737455e-29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466173410416,0.533826589584
0.0,1.28358939332e-42,0.0,6.29183010482e-43,0.0,0.0,0.0,0.0,1.0,9.16001712168e-29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999970257282,2.97204624076e-05
0.0,6.8470790211e-06,3.69279042597e-22,2.98476572901e-42,1.66320114731e-41,0.0,4.11936766831e-38,0.000343153689755,0.999650001526,1.46343073437e-16
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,7.59739593723e-22,0.0,0.0,2.80259692865e-45,0.0,6.21285992986e-39,0.0,1.0,5.89536747896e-36
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.90069625776e-21
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,4.00603204981e-39,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.928102609e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.999807059765,0.000192954321392
0.0,7.72488418599e-34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.20990340541e-39
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.28638474609e-07,0.0,0.0,2.39439442604e-37,0.0,0.0,1.52649956884e-14,6.48982522985e-21,0.999999344349
2.97079338907e-07,0.0,0.0,0.0,0.0,0.0,0.999999701977,0.0,0.0,0.0
0.0,2.53361225636e-14,5.56118204015e-34,1.55773942488e-40,2.32588920407e-40,1.99474836397e-41,2.36470538536e-29,2.21734477407e-30,1.0,1.12237017952e-33
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.3981478015e-29,0.0,0.0,1.0,0.0,0.0,3.46008616811e-41,7.66051054479e-39,7.25739481166e-40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.61091462704e-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.999892652035,0.0,0.0,0.0,0.0,0.00010735939577,0.0,0.0,0.0
9.11530638059e-41,0.0,0.0,0.0,1.0,0.0,0.0,1.7458025043e-12,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999961256981,3.87181098631e-05
0.0,0.0,0.0,0.0,0.0,0.0,9.80908925027e-45,0.0,1.0,6.38442879966e-24
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.14155757781e-18,1.91823746781e-41,0.000183863085113,0.999816119671,1.1350517561e-43,4.63180570152e-15,0.0,6.68667629878e-19,0.0,0.0
1.0,0.0,0.0,0.0,7.00649232162e-45,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00756528498e-32,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00367280910723,0.996327161789,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.26258284919e-43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0255833966e-44
9.80908925027e-44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.40129846432e-44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.78350585368e-43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.38466289487e-42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.986676084e-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.08721287528e-09
0.0,1.0,7.95074082797e-15,2.95719664849e-34,0.0,1.61260822583e-28,0.0,4.41268250338e-28,0.0,1.11845177564e-09
1.0,0.0,0.0,0.0,2.39602609648e-19,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.08257076513e-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.32899368593e-11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.78162499842e-23
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.88410035752e-35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.33352196734e-42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.31131464625e-24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.47449198254e-37
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
